town,road_id,lane_id,entry_s_m,R_m,direction,R_spread,curve_m,heading_deg,lead_in_m,lane_width_m,lanes_left,lanes_right,junction,x,y,v_ay85_kmh,ay_at_130
Town06,10,-5,11.6,15.0,left,0.025,36.0,-137.2,16.0,3.5,2,0,False,16.1,-130.7,22.3,86.71
Town06,570,-1,64.0,226.8,left,0.099,40.0,-10.1,4.0,3.5,0,0,True,123.5,122.2,86.6,5.75
Town07,45,1,25.6,385.7,left,0.143,38.0,-5.6,14.0,3.5,0,0,False,-103.7,88.4,112.9,3.38
Town07,62,-1,14.9,333.6,left,0.167,58.0,-10.0,18.0,3.2,0,0,False,-83.8,121.7,105.0,3.91
Town07,21,-1,61.4,33.1,right,0.096,52.0,90.0,4.0,3.2,0,0,False,-69.7,-225.5,33.1,39.4
Town07,62,1,91.1,332.0,right,0.15,58.0,10.0,16.0,3.2,0,0,False,-7.8,119.0,104.7,3.93
Town07,23,-1,22.0,29.8,left,0.0,30.0,-57.7,0.0,3.5,0,0,False,53.5,64.3,31.4,43.79
Town07,45,1,22.0,358.6,left,0.0,32.0,-5.1,0.0,3.5,0,0,False,-103.2,84.8,108.9,3.64
Town07,21,1,133.0,33.6,left,0.15,54.0,-91.9,0.0,3.2,0,0,False,-127.3,-222.7,33.3,38.75
Town07,44,-1,26.4,363.6,right,0.024,34.0,5.4,92.0,3.5,0,0,False,-103.0,34.7,109.6,3.59
Town07,21,-1,62.5,32.5,right,0.038,38.0,67.1,4.0,3.2,0,0,False,-70.2,-224.5,32.8,40.16
Town10HD,0,-1,10.6,41.9,left,0.165,50.0,-68.4,0.0,3.5,0,1,False,106.4,-20.0,37.2,31.12
Town10HD,5,1,38.1,45.8,left,0.138,32.0,-40.0,0.0,3.5,0,1,False,-102.0,111.9,38.9,28.48
Town10HD,10,1,65.5,41.9,right,0.165,50.0,68.3,132.0,3.5,0,1,False,62.3,-60.9,37.2,31.11
Town10HD,0,-2,10.7,41.9,left,0.161,50.0,-68.4,0.0,3.5,1,0,False,109.9,-20.0,37.2,31.16
Town10HD,1,-1,42.3,41.7,left,0.169,48.0,-66.0,54.0,3.5,0,1,False,61.7,137.7,37.1,31.27
Town10HD,515,-1,31.0,45.8,right,0.161,36.0,45.0,74.0,3.5,0,1,True,-59.6,133.3,38.9,28.45
Town10HD,5,-2,29.3,67.2,right,0.083,26.0,22.2,0.0,3.5,1,0,False,-91.6,115.3,47.1,19.42
Town10HD,6,1,85.0,39.7,left,0.153,44.0,-63.5,132.0,3.5,0,1,False,-67.5,-65.2,36.2,32.82
Town10HD,1,-2,42.3,41.7,left,0.169,48.0,-65.9,54.0,3.5,1,0,False,61.7,141.2,37.1,31.26
Town10HD,10,2,62.9,39.8,right,0.021,44.0,63.4,136.0,3.5,1,0,False,64.9,-57.4,36.3,32.78
Town10HD,5,1,74.6,71.5,left,0.0,26.0,-20.8,0.0,3.5,0,1,False,-111.1,76.0,48.6,18.23
